,PassengerId,Pclass,Name,Sex,Age,Fare,Cabin,Embarked,Family
0,892,3,1,0,34.5,7.8292,0,2,0
1,893,3,2,1,47.0,7.0,0,3,1
2,894,2,1,0,62.0,9.6875,0,2,0
3,895,3,1,0,27.0,8.6625,0,3,0
4,896,3,2,1,22.0,12.2875,0,3,2
5,897,3,1,0,14.0,9.225,0,3,0
6,898,3,3,1,30.0,7.6292,0,2,0
7,899,2,1,0,26.0,29.0,0,3,2
8,900,3,2,1,18.0,7.2292,0,1,0
9,901,3,1,0,21.0,24.15,0,3,2
11,903,1,1,0,46.0,26.0,0,3,0
12,904,1,2,1,23.0,82.2667,2,3,1
13,905,2,1,0,63.0,26.0,0,3,1
14,906,1,2,1,47.0,61.175,5,3,1
15,907,2,2,1,24.0,27.7208,0,1,1
16,908,2,1,0,35.0,12.35,0,2,0
17,909,3,1,0,21.0,7.225,0,1,0
18,910,3,3,1,27.0,7.925,0,3,1
19,911,3,2,1,45.0,7.225,0,1,0
20,912,1,1,0,55.0,59.4,0,1,1
21,913,3,4,0,9.0,3.1708,0,3,1
23,915,1,1,0,21.0,61.3792,0,1,1
24,916,1,2,1,48.0,262.375,2,1,4
25,917,3,1,0,50.0,14.5,0,3,1
26,918,1,3,1,22.0,61.9792,2,1,1
27,919,3,1,0,22.5,7.225,0,1,0
28,920,1,1,0,41.0,30.5,1,3,0
30,922,2,1,0,50.0,26.0,0,3,1
31,923,2,1,0,24.0,31.5,0,3,2
32,924,3,2,1,33.0,20.575,0,3,3
34,926,1,1,0,30.0,57.75,3,1,1
35,927,3,1,0,18.5,7.2292,0,1,0
37,929,3,3,1,21.0,8.6625,0,3,0
38,930,3,1,0,25.0,9.5,0,3,0
40,932,3,1,0,39.0,13.4167,0,1,1
42,934,3,1,0,41.0,7.85,0,3,0
43,935,2,2,1,30.0,13.0,0,3,0
44,936,1,2,1,45.0,52.5542,4,3,1
45,937,3,1,0,25.0,7.925,0,3,0
46,938,1,1,0,45.0,29.7,1,1,0
48,940,1,2,1,60.0,76.2917,4,1,0
49,941,3,2,1,36.0,15.9,0,3,2
50,942,1,1,0,24.0,60.0,3,3,1
51,943,2,1,0,27.0,15.0333,0,1,0
52,944,2,3,1,20.0,23.0,0,3,3
53,945,1,3,1,28.0,263.0,3,3,5
55,947,3,4,0,10.0,29.125,0,2,5
56,948,3,1,0,35.0,7.8958,0,3,0
57,949,3,1,0,25.0,7.65,6,3,0
59,951,1,3,1,36.0,262.375,2,1,0
60,952,3,1,0,17.0,7.8958,0,3,0
61,953,2,1,0,32.0,13.5,0,3,0
62,954,3,1,0,18.0,7.75,0,3,0
63,955,3,3,1,22.0,7.725,0,2,0
64,956,1,4,0,13.0,262.375,2,1,4
66,958,3,3,1,18.0,7.8792,0,2,0
67,959,1,1,0,47.0,42.4,0,3,0
68,960,1,1,0,31.0,28.5375,3,1,0
69,961,1,2,1,60.0,263.0,3,3,5
70,962,3,3,1,24.0,7.75,0,2,0
71,963,3,1,0,21.0,7.8958,0,3,0
72,964,3,3,1,29.0,7.925,0,3,0
73,965,1,1,0,28.5,27.7208,4,1,0
74,966,1,3,1,35.0,211.5,3,1,0
75,967,1,1,0,32.5,211.5,3,1,0
77,969,1,2,1,55.0,25.7,3,3,2
78,970,2,1,0,30.0,13.0,0,3,0
79,971,3,3,1,24.0,7.75,0,2,0
80,972,3,4,0,6.0,15.2458,0,1,2
81,973,1,1,0,67.0,221.7792,3,3,1
82,974,1,1,0,49.0,26.0,0,3,0
86,978,3,3,1,27.0,7.8792,0,2,0
87,979,3,3,1,18.0,8.05,0,3,0
89,981,2,4,0,2.0,23.0,0,3,2
90,982,3,2,1,22.0,13.9,0,3,1
92,984,1,2,1,27.0,52.0,2,3,3
94,986,1,1,0,25.0,26.0,0,1,0
95,987,3,1,0,25.0,7.7958,0,3,0
96,988,1,2,1,76.0,78.85,3,3,1
97,989,3,1,0,29.0,7.925,0,3,0
98,990,3,3,1,20.0,7.8542,0,3,0
99,991,3,1,0,33.0,8.05,0,3,0
100,992,1,2,1,43.0,55.4417,3,1,1
101,993,2,1,0,27.0,26.0,0,3,1
103,995,3,1,0,26.0,7.775,0,3,0
104,996,3,2,1,16.0,8.5167,0,1,2
105,997,3,1,0,28.0,22.525,0,3,0
106,998,3,1,0,21.0,7.8208,0,2,0
109,1001,2,1,0,18.5,13.0,6,3,0
110,1002,2,1,0,41.0,15.0458,0,1,0
112,1004,1,3,1,36.0,31.6792,1,1,0
113,1005,3,3,1,18.5,7.2833,0,2,0
114,1006,1,2,1,63.0,221.7792,3,3,1
115,1007,3,1,0,18.0,14.4542,0,1,1
117,1009,3,3,1,1.0,16.7,7,3,2
118,1010,1,1,0,36.0,75.2417,3,1,0
119,1011,2,2,1,29.0,26.0,0,3,1
120,1012,2,3,1,12.0,15.75,0,3,0
122,1014,1,2,1,35.0,57.75,3,1,1
123,1015,3,1,0,28.0,7.25,0,3,0
125,1017,3,3,1,17.0,16.1,0,3,1
126,1018,3,1,0,22.0,7.7958,0,3,0
128,1020,2,1,0,42.0,13.0,0,3,0
129,1021,3,1,0,24.0,8.05,0,3,0
130,1022,3,1,0,32.0,8.05,0,3,0
131,1023,1,0,0,53.0,28.5,3,1,0
134,1026,3,1,0,43.0,7.8958,0,3,0
135,1027,3,1,0,24.0,7.8542,0,3,0
136,1028,3,1,0,26.5,7.225,0,1,0
137,1029,2,1,0,26.0,13.0,0,3,0
138,1030,3,3,1,23.0,8.05,0,3,0
139,1031,3,1,0,40.0,46.9,0,3,7
140,1032,3,3,1,10.0,46.9,0,3,7
141,1033,1,3,1,33.0,151.55,0,3,0
142,1034,1,1,0,61.0,262.375,2,1,4
143,1035,2,1,0,28.0,26.0,0,3,0
144,1036,1,1,0,42.0,26.55,0,3,0
145,1037,3,1,0,31.0,18.0,0,3,3
147,1039,3,1,0,22.0,8.05,0,3,0
149,1041,2,0,0,30.0,26.0,0,3,2
150,1042,1,2,1,23.0,83.1583,3,1,1
152,1044,3,1,0,60.5,,0,3,0
153,1045,3,2,1,36.0,12.1833,0,3,2
154,1046,3,4,0,13.0,31.3875,0,3,6
155,1047,3,1,0,24.0,7.55,0,3,0
156,1048,1,3,1,29.0,221.7792,3,3,0
157,1049,3,3,1,23.0,7.8542,0,3,0
158,1050,1,1,0,42.0,26.55,4,3,0
159,1051,3,2,1,26.0,13.775,0,3,2
161,1053,3,4,0,7.0,15.2458,0,1,2
162,1054,2,3,1,26.0,13.5,0,3,0
164,1056,2,0,0,41.0,13.0,0,3,0
165,1057,3,2,1,26.0,22.025,0,3,2
166,1058,1,1,0,48.0,50.4958,2,1,0
167,1059,3,1,0,18.0,34.375,0,3,4
169,1061,3,3,1,22.0,8.9625,0,3,0
171,1063,3,1,0,27.0,7.225,0,1,0
172,1064,3,1,0,23.0,13.9,0,3,1
174,1066,3,1,0,40.0,31.3875,0,3,6
175,1067,2,3,1,15.0,39.0,0,3,2
176,1068,2,3,1,20.0,36.75,0,3,0
177,1069,1,1,0,54.0,55.4417,3,1,1
178,1070,2,2,1,36.0,39.0,6,3,3
179,1071,1,2,1,64.0,83.1583,5,1,2
180,1072,2,1,0,30.0,13.0,0,3,0
181,1073,1,1,0,37.0,83.1583,5,1,2
182,1074,1,2,1,18.0,53.1,4,3,1
184,1076,1,2,1,27.0,247.5208,2,1,2
185,1077,2,1,0,40.0,16.0,0,3,0
186,1078,2,3,1,21.0,21.0,0,3,1
187,1079,3,1,0,17.0,8.05,0,3,2
189,1081,2,1,0,40.0,13.0,0,3,0
190,1082,2,1,0,34.0,26.0,0,3,1
192,1084,3,4,0,11.5,14.5,0,3,2
193,1085,2,1,0,61.0,12.35,0,2,0
194,1086,2,4,0,8.0,32.5,0,3,2
195,1087,3,1,0,33.0,7.8542,0,3,0
196,1088,1,4,0,6.0,134.5,5,1,2
197,1089,3,3,1,18.0,7.775,0,3,0
198,1090,2,1,0,23.0,10.5,0,3,0
201,1093,3,4,0,0.33,14.4,0,3,2
202,1094,1,0,0,47.0,227.525,3,1,1
203,1095,2,3,1,8.0,26.0,0,3,2
204,1096,2,1,0,25.0,10.5,0,3,0
206,1098,3,3,1,35.0,7.75,0,2,0
207,1099,2,1,0,24.0,10.5,0,3,0
208,1100,1,3,1,33.0,27.7208,1,1,0
209,1101,3,1,0,25.0,7.8958,0,3,0
210,1102,3,1,0,32.0,22.525,0,3,0
212,1104,2,1,0,17.0,73.5,0,3,0
213,1105,2,2,1,60.0,26.0,0,3,1
214,1106,3,3,1,38.0,7.775,0,3,6
215,1107,1,1,0,42.0,42.5,2,3,0
217,1109,1,1,0,57.0,164.8667,0,3,2
218,1110,1,2,1,50.0,211.5,3,1,2
220,1112,2,3,1,30.0,13.8583,0,1,1
221,1113,3,1,0,21.0,8.05,0,3,0
222,1114,2,2,1,22.0,10.5,6,3,0
223,1115,3,1,0,21.0,7.7958,0,3,0
224,1116,1,2,1,53.0,27.4458,0,1,0
226,1118,3,1,0,23.0,7.7958,0,3,0
228,1120,3,1,0,40.5,15.1,0,3,0
229,1121,2,1,0,36.0,13.0,0,3,0
230,1122,2,1,0,14.0,65.0,0,3,0
231,1123,1,3,1,21.0,26.55,0,3,0
232,1124,3,1,0,21.0,6.4958,0,3,1
234,1126,1,1,0,39.0,71.2833,3,1,1
235,1127,3,1,0,20.0,7.8542,0,3,0
236,1128,1,1,0,64.0,75.25,4,1,1
237,1129,3,1,0,20.0,7.225,0,1,0
238,1130,2,3,1,18.0,13.0,0,3,2
239,1131,1,2,1,48.0,106.425,3,1,1
240,1132,1,2,1,55.0,27.7208,0,1,0
241,1133,2,2,1,45.0,30.0,0,3,2
242,1134,1,1,0,45.0,134.5,5,1,2
245,1137,1,1,0,41.0,51.8625,4,3,1
246,1138,2,2,1,22.0,21.0,0,3,0
247,1139,2,1,0,42.0,32.5,0,3,2
248,1140,2,2,1,29.0,26.0,0,3,1
250,1142,2,3,1,0.92,27.75,0,3,3
251,1143,3,1,0,20.0,7.925,0,3,0
252,1144,1,1,0,27.0,136.7792,3,1,1
253,1145,3,1,0,24.0,9.325,0,3,0
254,1146,3,1,0,32.5,9.5,0,3,0
257,1149,3,1,0,28.0,8.05,0,3,0
258,1150,2,3,1,19.0,13.0,0,3,0
259,1151,3,1,0,21.0,7.775,0,3,0
260,1152,3,1,0,36.5,17.4,0,3,1
261,1153,3,1,0,21.0,7.8542,0,3,0
262,1154,2,2,1,29.0,23.0,0,3,2
263,1155,3,3,1,1.0,12.1833,0,3,2
264,1156,2,1,0,30.0,12.7375,0,1,0
269,1161,3,1,0,17.0,8.6625,0,3,0
270,1162,1,1,0,46.0,75.2417,3,1,0
272,1164,1,2,1,26.0,136.7792,3,1,1
275,1167,2,3,1,20.0,26.0,0,3,1
276,1168,2,1,0,28.0,10.5,0,3,0
277,1169,2,1,0,40.0,26.0,0,3,1
278,1170,2,1,0,30.0,21.0,0,3,1
279,1171,2,1,0,22.0,10.5,0,3,0
280,1172,3,3,1,23.0,8.6625,0,3,0
281,1173,3,4,0,0.75,13.775,0,3,2
283,1175,3,3,1,9.0,15.2458,0,1,2
284,1176,3,3,1,2.0,20.2125,0,3,2
285,1177,3,1,0,36.0,7.25,0,3,0
287,1179,1,1,0,24.0,82.2667,2,3,1
291,1183,3,3,1,30.0,6.95,0,2,0
293,1185,1,5,0,53.0,81.8583,1,3,2
294,1186,3,1,0,36.0,9.5,0,3,0
295,1187,3,1,0,26.0,7.8958,0,3,0
296,1188,2,3,1,1.0,41.5792,0,1,3
298,1190,1,1,0,30.0,45.5,0,3,0
299,1191,3,1,0,29.0,7.8542,0,3,0
300,1192,3,1,0,32.0,7.775,0,3,0
302,1194,2,1,0,43.0,21.0,0,3,1
303,1195,3,1,0,24.0,8.6625,0,3,0
305,1197,1,2,1,64.0,26.55,2,3,2
306,1198,1,1,0,30.0,151.55,3,3,3
307,1199,3,4,0,0.83,9.35,0,3,1
308,1200,1,1,0,55.0,93.5,2,3,2
309,1201,3,2,1,45.0,14.1083,0,3,1
310,1202,3,1,0,18.0,8.6625,0,3,0
311,1203,3,1,0,22.0,7.225,0,1,0
313,1205,3,3,1,37.0,7.75,0,2,0
314,1206,1,2,1,55.0,135.6333,3,1,0
315,1207,3,3,1,17.0,7.7333,0,2,0
316,1208,1,1,0,57.0,146.5208,2,1,1
317,1209,2,1,0,19.0,10.5,0,3,0
318,1210,3,1,0,27.0,7.8542,0,3,0
319,1211,2,1,0,22.0,31.5,0,3,2
320,1212,3,1,0,26.0,7.775,0,3,0
321,1213,3,1,0,25.0,7.2292,6,1,0
322,1214,2,1,0,26.0,13.0,6,3,0
323,1215,1,1,0,33.0,26.55,0,3,0
324,1216,1,3,1,39.0,211.3375,0,3,0
325,1217,3,1,0,23.0,7.05,0,3,0
326,1218,2,3,1,12.0,39.0,6,3,3
327,1219,1,1,0,46.0,79.2,0,1,0
328,1220,2,1,0,29.0,26.0,0,3,1
329,1221,2,1,0,21.0,13.0,0,3,0
330,1222,2,2,1,48.0,36.75,0,3,2
331,1223,1,1,0,39.0,29.7,1,1,0
333,1225,3,2,1,19.0,15.7417,0,1,2
334,1226,3,1,0,27.0,7.8958,0,3,0
335,1227,1,1,0,30.0,26.0,3,3,0
336,1228,2,1,0,32.0,13.0,0,3,0
337,1229,3,1,0,39.0,7.2292,0,1,2
338,1230,2,1,0,25.0,31.5,0,3,0
340,1232,2,1,0,18.0,10.5,0,3,0
341,1233,3,1,0,32.0,7.5792,0,3,0
343,1235,1,2,1,58.0,512.3292,2,1,1
345,1237,3,3,1,16.0,7.65,0,3,0
346,1238,2,1,0,26.0,13.0,0,3,0
347,1239,3,2,1,38.0,7.2292,0,1,0
348,1240,2,1,0,24.0,13.5,0,3,0
349,1241,2,3,1,31.0,21.0,0,3,0
350,1242,1,2,1,45.0,63.3583,4,1,1
351,1243,2,1,0,25.0,10.5,0,3,0
352,1244,2,1,0,18.0,73.5,0,3,0
353,1245,2,1,0,49.0,65.0,0,3,3
354,1246,3,3,1,0.17,20.575,0,3,3
355,1247,1,1,0,50.0,26.0,5,3,0
356,1248,1,2,1,59.0,51.4792,3,3,2
359,1251,3,2,1,30.0,15.55,0,3,1
360,1252,3,4,0,14.5,69.55,0,3,10
361,1253,2,2,1,24.0,37.0042,0,1,2
362,1254,2,2,1,31.0,21.0,0,3,0
363,1255,3,1,0,27.0,8.6625,0,3,0
364,1256,1,2,1,25.0,55.4417,5,1,1
367,1259,3,3,1,22.0,39.6875,0,3,0
368,1260,1,2,1,45.0,59.4,0,1,1
369,1261,2,1,0,29.0,13.8583,0,1,0
370,1262,2,1,0,21.0,11.5,0,3,1
371,1263,1,3,1,31.0,134.5,5,1,0
372,1264,1,1,0,49.0,0.0,2,3,0
373,1265,2,1,0,44.0,13.0,0,3,0
374,1266,1,2,1,54.0,81.8583,1,3,2
375,1267,1,3,1,45.0,262.375,0,1,0
376,1268,3,3,1,22.0,8.6625,0,3,2
377,1269,2,1,0,21.0,11.5,0,3,0
378,1270,1,1,0,55.0,50.0,3,3,0
379,1271,3,4,0,5.0,31.3875,0,3,6
381,1273,3,1,0,26.0,7.8792,0,2,0
383,1275,3,2,1,19.0,16.1,0,3,1
385,1277,2,3,1,24.0,65.0,0,3,3
386,1278,3,1,0,24.0,7.775,0,3,0
387,1279,2,1,0,57.0,13.0,0,3,0
388,1280,3,1,0,21.0,7.75,0,2,0
389,1281,3,4,0,6.0,21.075,0,3,4
390,1282,1,1,0,23.0,93.5,2,3,0
391,1283,1,2,1,51.0,39.4,4,3,1
392,1284,3,4,0,13.0,20.25,0,3,2
393,1285,2,1,0,47.0,10.5,0,3,0
394,1286,3,1,0,29.0,22.025,0,3,4
395,1287,1,2,1,18.0,60.0,3,3,1
396,1288,3,1,0,24.0,7.25,0,2,0
397,1289,1,2,1,48.0,79.2,2,1,2
398,1290,3,1,0,22.0,7.775,0,3,0
399,1291,3,1,0,31.0,7.7333,0,2,0
400,1292,1,3,1,30.0,164.8667,3,3,0
401,1293,2,1,0,38.0,21.0,0,3,1
402,1294,1,3,1,22.0,59.4,0,1,1
403,1295,1,1,0,17.0,47.1,0,3,0
404,1296,1,1,0,43.0,27.7208,4,1,1
405,1297,2,1,0,20.0,13.8625,4,1,0
406,1298,2,1,0,23.0,10.5,0,3,1
407,1299,1,1,0,50.0,211.5,3,1,2
409,1301,3,3,1,3.0,13.775,0,3,2
411,1303,1,2,1,37.0,90.0,3,2,1
412,1304,3,3,1,28.0,7.775,0,3,0
414,1306,1,0,1,39.0,108.9,3,1,0
415,1307,3,1,0,38.5,7.25,0,3,0
